DATE,CPIAUCSL,CPILFENS,PPIACO,PCEPI,PCEPILFE,GS1
01-01-59,29.01,29.9,31.7,16.074,16.727,3.36
01-02-59,29,29.9,31.7,16.089,16.74,3.54
01-03-59,28.97,30,31.7,16.1,16.759,3.61
01-04-59,28.98,30,31.8,16.132,16.801,3.72
01-05-59,29.04,30.1,31.8,16.14,16.822,3.96
01-06-59,29.11,30.1,31.7,16.186,16.871,4.07
01-07-59,29.15,30.2,31.7,16.22,16.911,4.39
01-08-59,29.18,30.2,31.6,16.244,16.938,4.42
01-09-59,29.25,30.3,31.7,16.286,16.983,5
01-10-59,29.35,30.5,31.6,16.326,17.012,4.8
01-11-59,29.35,30.5,31.5,16.336,17.043,4.81
01-12-59,29.41,30.5,31.5,16.355,17.069,5.14
01-01-60,29.37,30.5,31.6,16.346,17.073,5.03
01-02-60,29.41,30.6,31.6,16.363,17.105,4.66
01-03-60,29.41,30.6,31.8,16.372,17.107,4.02
01-04-60,29.54,30.6,31.8,16.432,17.138,4.04
01-05-60,29.57,30.6,31.7,16.449,17.166,4.21
01-06-60,29.61,30.6,31.7,16.456,17.176,3.36
01-07-60,29.55,30.6,31.7,16.485,17.206,3.2
01-08-60,29.61,30.6,31.6,16.513,17.231,2.95
01-09-60,29.61,30.6,31.6,16.523,17.244,3.07
01-10-60,29.75,30.8,31.7,16.542,17.255,3.04
01-11-60,29.78,30.8,31.7,16.598,17.301,3.08
01-12-60,29.81,30.8,31.7,16.601,17.295,2.86
01-01-61,29.84,30.8,31.8,16.604,17.3,2.81
01-02-61,29.84,30.8,31.8,16.62,17.317,2.93
01-03-61,29.84,30.8,31.8,16.61,17.322,2.88
01-04-61,29.81,30.9,31.6,16.6,17.346,2.88
01-05-61,29.84,30.9,31.5,16.609,17.369,2.87
01-06-61,29.84,30.9,31.3,16.617,17.395,3.06
01-07-61,29.92,31,31.5,16.653,17.422,2.92
01-08-61,29.94,31,31.5,16.667,17.44,3.06
01-09-61,29.98,31.1,31.5,16.686,17.475,3.06
01-10-61,29.98,31.2,31.5,16.685,17.481,3.05
01-11-61,29.98,31.2,31.5,16.686,17.483,3.07
01-12-61,30.01,31.2,31.6,16.69,17.499,3.18
01-01-62,30.04,31.2,31.7,16.721,17.519,3.28
01-02-62,30.11,31.2,31.7,16.767,17.548,3.28
01-03-62,30.17,31.3,31.7,16.789,17.589,3.06
01-04-62,30.21,31.3,31.6,16.808,17.593,2.99
01-05-62,30.24,31.4,31.5,16.818,17.617,3.03
01-06-62,30.21,31.4,31.5,16.829,17.649,3.03
01-07-62,30.22,31.4,31.6,16.819,17.664,3.29
01-08-62,30.28,31.4,31.6,16.844,17.667,3.2
01-09-62,30.42,31.5,31.9,16.927,17.702,3.06
01-10-62,30.38,31.6,31.7,16.909,17.701,2.98
01-11-62,30.38,31.6,31.7,16.922,17.713,3
01-12-62,30.38,31.6,31.6,16.914,17.718,3.01
01-01-63,30.44,31.5,31.6,16.956,17.753,3.04
01-02-63,30.48,31.5,31.5,16.974,17.773,3.01
01-03-63,30.51,31.6,31.5,16.961,17.783,3.03
01-04-63,30.48,31.7,31.4,16.96,17.805,3.11
01-05-63,30.51,31.7,31.5,16.987,17.837,3.12
01-06-63,30.61,31.8,31.6,17.024,17.868,3.2
01-07-63,30.69,31.8,31.7,17.058,17.884,3.48
01-08-63,30.75,31.9,31.6,17.081,17.9,3.53
01-09-63,30.72,31.9,31.6,17.078,17.932,3.57
01-10-63,30.75,32,31.6,17.111,17.972,3.64
01-11-63,30.78,32.1,31.7,17.135,17.989,3.74
01-12-63,30.88,32.1,31.6,17.161,18.014,3.81
01-01-64,30.94,32.1,31.8,17.197,18.039,3.79
01-02-64,30.91,32.1,31.6,17.221,18.074,3.78
01-03-64,30.94,32.2,31.6,17.231,18.09,3.91
01-04-64,30.95,32.2,31.6,17.245,18.107,3.91
01-05-64,30.98,32.2,31.5,17.246,18.123,3.84
01-06-64,31.01,32.3,31.5,17.271,18.136,3.83
01-07-64,31.02,32.3,31.6,17.293,18.154,3.72
01-08-64,31.05,32.2,31.6,17.306,18.177,3.74
01-09-64,31.08,32.3,31.7,17.333,18.185,3.84
01-10-64,31.12,32.4,31.7,17.343,18.192,3.86
01-11-64,31.21,32.5,31.7,17.368,18.218,3.91
01-12-64,31.25,32.5,31.7,17.393,18.244,4.02
01-01-65,31.28,32.6,31.8,17.412,18.268,3.94
01-02-65,31.28,32.6,31.9,17.419,18.291,4.03
01-03-65,31.31,32.6,31.9,17.442,18.301,4.06
01-04-65,31.38,32.7,32,17.469,18.323,4.04
01-05-65,31.48,32.7,32.1,17.508,18.357,4.03
01-06-65,31.61,32.7,32.4,17.559,18.352,3.99
01-07-65,31.58,32.7,32.4,17.572,18.37,3.98
01-08-65,31.55,32.7,32.4,17.576,18.405,4.07
01-09-65,31.62,32.8,32.4,17.584,18.427,4.2
01-10-65,31.65,32.9,32.5,17.59,18.42,4.3
01-11-65,31.75,32.9,32.6,17.62,18.455,4.37
01-12-65,31.85,33,32.8,17.684,18.511,4.72
01-01-66,31.88,32.9,32.9,17.704,18.516,4.88
01-02-66,32.08,33,33.2,17.778,18.562,4.94
01-03-66,32.18,33.1,33.2,17.821,18.585,4.97
01-04-66,32.28,33.3,33.2,17.883,18.651,4.9
01-05-66,32.35,33.4,33.2,17.905,18.701,4.93
01-06-66,32.38,33.5,33.3,17.95,18.762,4.97
01-07-66,32.45,33.6,33.5,17.984,18.817,5.17
01-08-66,32.65,33.7,33.6,18.053,18.852,5.54
01-09-66,32.75,33.8,33.6,18.11,18.909,5.82
01-10-66,32.85,34,33.4,18.158,18.971,5.58
01-11-66,32.88,34.1,33.3,18.185,19.019,5.54
01-12-66,32.92,34.1,33.3,18.222,19.077,5.2
01-01-67,32.9,34.1,33.4,18.224,19.095,4.75
01-02-67,33,34.2,33.4,18.245,19.129,4.71
01-03-67,33,34.3,33.3,18.255,19.158,4.35
01-04-67,33.1,34.4,33.1,18.285,19.211,4.11
01-05-67,33.1,34.5,33.3,18.32,19.253,4.15
01-06-67,33.3,34.6,33.5,18.379,19.302,4.48
01-07-67,33.4,34.7,33.5,18.441,19.368,5.01
01-08-67,33.5,34.8,33.4,18.499,19.427,5.13
01-09-67,33.6,35,33.4,18.555,19.496,5.24
01-10-67,33.7,35.2,33.4,18.606,19.569,5.37
01-11-67,33.9,35.3,33.4,18.668,19.631,5.61
01-12-67,34,35.4,33.7,18.698,19.679,5.71
01-01-68,34.1,35.5,33.8,18.784,19.766,5.43
01-02-68,34.2,35.6,34,18.861,19.852,5.41
01-03-68,34.3,35.8,34.1,18.923,19.931,5.58
01-04-68,34.4,35.9,34.1,18.982,20.004,5.71
01-05-68,34.5,36,34.2,19.052,20.08,6.14
01-06-68,34.7,36.2,34.2,19.113,20.158,5.98
01-07-68,34.9,36.4,34.3,19.171,20.225,5.65
01-08-68,35,36.5,34.2,19.25,20.304,5.43
01-09-68,35.1,36.7,34.4,19.317,20.387,5.45
01-10-68,35.3,36.9,34.4,19.402,20.469,5.57
01-11-68,35.4,37.1,34.5,19.467,20.546,5.75
01-12-68,35.6,37.2,34.6,19.508,20.609,6.19
01-01-69,35.7,37.3,34.8,19.584,20.687,6.34
01-02-69,35.8,37.5,35,19.633,20.757,6.41
01-03-69,36.1,37.8,35.2,19.726,20.854,6.34
01-04-69,36.3,38.1,35.3,19.812,20.935,6.26
01-05-69,36.4,38.2,35.5,19.892,21.018,6.42
01-06-69,36.6,38.3,35.7,19.989,21.091,7.04
01-07-69,36.8,38.5,35.8,20.076,21.189,7.6
